Name,Total Time,Year,Date Added,Play Count,Skip Count,Artist,Genre,Cleaned up time,Relative Plays,Relative Skips
Ether,277968,2001,2016-02-12,36,11,Nas,Hip Hop/Rap,4:37,0.14233985120811113,0.20036429872495448
Happy,247066,2014,2016-02-12,33,16,Pharrell Williams,Pop,4:7,0.1304781969407685,0.29143897996357016
Immigrant song,148662,1970,2016-02-12,80,13,Led Zeppelin,Rock,2:28,0.31631078046246913,0.23679417122040072
Violent Pornography,211408,2005,2016-02-12,30,12,System Of A Down,Metal,3:31,0.11861654267342595,0.2185792349726776
Psycho,235415,2001,2016-02-12,51,6,System Of A Down,Metal,3:55,0.2016481225448241,0.1092896174863388
Gold Digger,221152,2005,2016-02-12,36,15,Kanye West,Hip Hop/Rap,3:41,0.14233985120811113,0.273224043715847
Come As You Are,225750,1991,2016-02-12,35,13,Nirvana,Rock,3:45,0.13838596645233026,0.23679417122040072
Lithium,255425,1991,2016-02-12,47,11,Nirvana,Rock,4:15,0.18583258352170062,0.20036429872495448
Here Comes The Sun,184163,1969,2016-02-12,64,16,The Beatles,Rock,3:4,0.25304862436997533,0.29143897996357016
HiiiPoWeR,308715,2011,2016-02-12,36,14,Kendrick Lamar,Hip Hop/Rap,5:8,0.14233985120811113,0.25500910746812383
I Love Rock 'n' Roll,179278,1981,2016-02-12,38,13,Joan Jett & the Blackhearts,Rock,2:59,0.15024762071967285,0.23679417122040072
​m.A.A.d city,350955,2012,2016-02-12,28,16,Kendrick Lamar,Hip Hop/Rap,5:50,0.1107087731618642,0.29143897996357016
Follow The Leader,270471,1988,2016-02-12,37,15,Eric B. & Rakim,Hip Hop/Rap,4:30,0.146293735963892,0.273224043715847
The Man Who Sold The World,243356,1970,2016-02-12,71,12,David Bowie,Rock,4:3,0.28072581766044136,0.2185792349726776
The Man Who Sold The World,217808,1994,2016-02-12,43,11,Nirvana,Rock,3:37,0.17001704449857716,0.20036429872495448
Ramble On,266396,1969,2016-02-12,137,8,Led Zeppelin,Rock,4:26,0.5416822115419784,0.14571948998178508
Crazy Little Thing Called Love,174785,1980,2016-02-12,48,13,Queen,Rock,2:54,0.1897864682774815,0.23679417122040072
The Prophets Song,508107,1975,2016-02-12,40,6,Queen,Rock,8:28,0.15815539023123457,0.1092896174863388
Fight The Power,320470,1990,2016-02-12,30,11,Public Enemy,Hip Hop/Rap,5:20,0.11861654267342595,0.20036429872495448
Raindrops Keep Fallin' on My Head,179147,1969,2016-02-12,54,18,B.J. Thomas,Rock,2:59,0.21350977681216668,0.3278688524590164
Mama Used To Say,409443,1982,2016-02-12,20,11,Junior,Blues/R&B,6:49,0.07907769511561728,0.20036429872495448
T.N.T.,215013,1976,2016-02-12,51,11,AC/DC,Rock,3:35,0.2016481225448241,0.20036429872495448
Le Freak,328202,1978,2016-02-12,33,7,Chic,Disco,5:28,0.1304781969407685,0.12750455373406192
Three Little Birds,181054,1977,2016-02-12,40,11,Bob Marley & the Wailers,Reggae,3:1,0.15815539023123457,0.20036429872495448
Kashmir,511294,1975,2016-02-12,58,15,Led Zeppelin,Rock,8:31,0.22932531583529014,0.273224043715847
Jamming,200411,1977,2016-02-12,38,4,Bob Marley & the Wailers,Reggae,3:20,0.15024762071967285,0.07285974499089254
Walking On Sunshine,228310,1985,2016-02-12,28,13,Katrina & The Waves,Pop,3:48,0.1107087731618642,0.23679417122040072
Heartbreak Hotel,128835,1958,2016-02-12,43,8,Elvis Presley,Rock,2:8,0.17001704449857716,0.14571948998178508
"""Heroes""",206106,1977,2016-02-12,47,14,David Bowie,Rock,3:26,0.18583258352170062,0.25500910746812383
Moonage Daydream,278935,1972,2016-02-12,72,17,David Bowie,Rock,4:38,0.28467970241622226,0.3096539162112933
Life On Mars?,241998,1971,2016-02-12,68,14,David Bowie,Rock,4:1,0.26886416339309877,0.25500910746812383
Ashes To Ashes,229564,1980,2016-02-12,60,14,David Bowie,Rock,3:49,0.2372330853468519,0.25500910746812383
Modern Love,227604,1983,2016-02-12,51,13,David Bowie,Rock,3:47,0.2016481225448241,0.23679417122040072
Fame,256914,1975,2016-02-12,37,16,David Bowie,Rock,4:16,0.146293735963892,0.29143897996357016
Golden Years,241005,1976,2016-02-12,49,15,David Bowie,Rock,4:1,0.19374035303326237,0.273224043715847
Eye of the Tiger,268146,1982,2016-02-12,37,11,Survivor,Rock,4:28,0.146293735963892,0.20036429872495448
Innuendo,406935,1991,2016-02-12,46,12,Queen,Rock,6:46,0.18187869876591978,0.2185792349726776
The Show Must Go On,262635,1991,2016-02-12,64,10,Queen,Rock,4:22,0.25304862436997533,0.18214936247723132
Dont Stop Me Now,217077,1978,2016-02-12,56,13,Queen,Rock,3:37,0.2214175463237284,0.23679417122040072
I Want To Break Free,271464,1984,2016-02-12,46,6,Queen,Rock,4:31,0.18187869876591978,0.1092896174863388
Radio Ga Ga,353201,1984,2016-02-12,34,9,Queen,Rock,5:53,0.13443208169654938,0.1639344262295082
Killer Queen,192104,1974,2016-02-12,61,12,Queen,Rock,3:12,0.2411869701026327,0.2185792349726776
We Will Rock You,134582,1977,2016-02-12,40,14,Queen,Rock,2:14,0.15815539023123457,0.25500910746812383
